features,significance
annual_inc,0.10924945202078284
dti,0.10517751775961326
revol_util,0.10081730670008962
installment,0.09767163240524963
total_acc,0.08892907598406513
loan_amnt,0.08228965940142738
int_rate,0.07677441511734907
emp_length,0.06089541789093545
inq_last_6mths,0.03753626991287277
term,0.025533869063897038
home_ownership_RENT,0.017603350081745527
verification_status_Verified,0.014917503996192003
delinq_2yrs,0.01483492596266282
verification_status_Source Verified,0.01439884116823895
home_ownership_OWN,0.008542139121003912
sub_grade_B5,0.006522489761864985
sub_grade_B3,0.00604672158156032
sub_grade_C2,0.005846960518680354
sub_grade_B4,0.005831345220960542
sub_grade_C1,0.005460503600879919
sub_grade_A4,0.005342466982486955
sub_grade_C3,0.005043907067748845
sub_grade_D2,0.004874551577276703
sub_grade_B2,0.0047328650715582924
sub_grade_D3,0.004611884656841175
sub_grade_A5,0.00442487495720503
sub_grade_C4,0.004371532955872918
sub_grade_C5,0.004042747635108304
sub_grade_B1,0.0040115559774099975
sub_grade_D4,0.0038536727498208116
sub_grade_A3,0.0036892901149439576
sub_grade_D5,0.003513154157827994
sub_grade_E1,0.0032838079391197235
sub_grade_D1,0.0032162330688038183
sub_grade_A2,0.0032074453244688287
sub_grade_E2,0.003001264876049262
sub_grade_E3,0.002224679503314227
sub_grade_E4,0.0020646367519814995
government_bond,0.002050259920187659
government_exp,0.002049415151564851
compensation,0.0020411012006074343
gross_debt,0.002019427619900348
trade_deficit,0.0020156515477637894
industrial_production,0.001985840118012462
oil,0.0019814705109798833
unemployment,0.0019762691331057986
gdp_growth,0.001967954010459618
household_exp,0.0019631219191932597
sub_grade_E5,0.0019565463103068045
inflation,0.0019267947180394715
GDP,0.0019213670093221455
sub_grade_F1,0.0019042897022139046
exports,0.0018770123015769452
dollar,0.0018251838777926241
forex_reserve,0.0018204491659040661
fiscal_deficit,0.0018012769914022941
monsoon,0.0017689429634323971
imports,0.001723281056564876
sub_grade_F2,0.0013620042106045186
sub_grade_F3,0.0010214032436135876
sub_grade_F4,0.000978185835124356
sub_grade_F5,0.000792382038598697
home_ownership_OTHER,0.0006721297418229923
sub_grade_G1,0.000603084449303001
sub_grade_G2,0.0005999406717475584
sub_grade_G4,0.0004146227683085222
sub_grade_G3,0.000339569327573096
sub_grade_G5,0.0002454402218944635
home_ownership_NONE,5.613625168734116e-06
